12PPDt	12ppd-S
MLTP2	g1p|h|malthx|maltpt|pi
MLTP3	g1p|h|malthp|malthx|pi
MMCD	co2|h|mmcoa-S|ppcoa
MME	mmcoa-R|mmcoa-S
MMM2	mmcoa-R|succoa
MNLpts	mnl|mnl1p|pep|pyr
MNNH	2ddglcn|h2o|mana
MOAT	ckdo|cmp|kdolipid4|lipidA
MOAT2	ckdo|cmp|kdo2lipid4|kdolipid4
MOHMT	2dhp|3mob|h2o|mlthf|thf
MTAN	5mta|5mtr|ade|h2o
MTHFC	10fthf|h|h2o|methf
MTHFD	methf|mlthf|nadp|nadph
MTHFR2	5mthf|h|mlthf|nad|nadh
MTRI	5mdr1p|5mdru1p
MTRK	5mdr1p|5mtr|adp|atp
NACODA	ac|acg5sa|glu5sa|h2o
NACUP	nac
NADDP	amp|h2o|nad|nmn
NADDPe	amp|h2o|nad|nmn
NADH10	h|mql8|mqn8|nad|nadh
NADH5	h|nad|nadh|q8|q8h2
NADH6	h|nad|nadh|q8|q8h2
NADH7	h|mql8|mqn8|nad|nadh
NADH8	2dmmq8|2dmmql8|h|nad|nadh
NADH9	2dmmq8|2dmmql8|h|nad|nadh
NADK	adp|atp|nad|nadp
NADPPPS	h|h2o|nad|nadp|pi
NADS1	amp|atp|dnad|nad|nh4|ppi
NAMNPP	adp|atp|h2o|nac|nicrnt|pi|ppi|prpp
NAt3_1	h|na1
NAt3_1.5	h|na1
NAt3_2	h|na1
NDPK1	adp|atp|gdp|gtp
NDPK2	adp|atp|udp|utp
