R02662	C00010|C00630|C15973|C15977
R02664	C00002|C00008|C00631|C01159
R02670	C00007|C00027|C00080|C00632|C00704|C05640
R02678	C00001|C00003|C00004|C00080|C00637|C00954
R02681	C00001|C00007|C00027|C00637|C00954
R02685	C00001|C00640|C00658
R02687	C00001|C00162|C00641|C01885
R02691	C00015|C00052|C00641|C03692
R02694	C00010|C00422|C00605|C00641
R02703	C00003|C00004|C00080|C00644|C05345
R02719	C00001|C00009|C00655|C01762
R02720	C00001|C00013|C00655|C00700
R02722	C00001|C00065|C00078|C00118|C03506
R02731	C00001|C00009|C00665|C05345
R02735	C00666|C00680
R02736	C00005|C00006|C00080|C01172|C01236
R02737	C00015|C00029|C00668|C00689
R02739	C00668|C01172
R02740	C00668|C05345
R02746	C00001|C00162|C00670|C04230
R02747	C00001|C00162|C00670|C04233
R02750	C00002|C00008|C00673|C01801
R02778	C00001|C00009|C00689|C01083
R02811	C00177|C01450|C05712
R02814	C00001|C00229|C00712|C01203
R02832	C00005|C00006|C00080|C00729|C00783
R02834	C00003|C00004|C00080|C00735|C00762
R02846	C00177|C00283|C00736|C02512
R02853	C00001|C00009|C00740|C02532
R02869	C00170|C00315|C00750|C01137
R02872	C00005|C00006|C00013|C00080|C00751|C03428
R02873	C00001|C00007|C00028|C00030|C00751|C01054
R02874	C00001|C00005|C00006|C00007|C00080|C00751|C01054
R02886	C00001|C00185|C00760
R02887	C00001|C00221|C00760
R02889	C00015|C00029|C00760
R02894	C00007|C00027|C00763|C03564
R02918	C00002|C00013|C00020|C00082|C00787|C02839
R02923	C00001|C00007|C00014|C00027|C00792|C03771
R02926	C00001|C00124|C00794|C05399
R02940	C00001|C00003|C00004|C00080|C00804|C05985
R02957	C00001|C00003|C00004|C00080|C00818|C02670
R02976	C00002|C00008|C00836|C01120
R02978	C00005|C00006|C00080|C00836|C02934
R02984	C00842|C02097
R03004	C00001|C00020|C00857|C01185
