CPGNexs	cpgn|cpgn-un|fe3
CPGNtonex	cpgn|h
CPPPGO	co2|cpppg3|h|h2o|o2|pppg9
CPPPGO2	amet|co2|cpppg3|dad-5|met-L|pppg9
CRNBTCT	bbtcoa|crn|crncoa|gbbtn
CRNCAL2	adp|atp|coa|crn|crncoa|pi
CRNCAR	crnDcoa|crncoa
CRNCBCT	crn|crncoa|ctbt|ctbtcoa
CRNCDH	crncoa|ctbtcoa|h2o
CRNDCAL2	adp|atp|coa|crn-D|crnDcoa|pi
CRNDabcpp	adp|atp|crn-D|h|h2o|pi
CRNDt2rpp	crn-D|h
CRNabcpp	adp|atp|crn|h|h2o|pi
CRNt2rpp	crn|h
CRNt7pp	crn|gbbtn
CRNt8pp	crn|crn-D
CRNtex	crn
CS	accoa|cit|coa|h|h2o|oaa
CSND	csn|h|h2o|nh4|ura
CSNt2pp	csn|h
CSNtex	csn
CTBTCAL2	adp|atp|coa|ctbt|ctbtcoa|pi
CTBTabcpp	adp|atp|ctbt|h|h2o|pi
CTBTt2rpp	ctbt|h
CTPS2	adp|atp|ctp|gln-L|glu-L|h|h2o|pi|utp
CU1Opp	cu|cu2|h|h2o|o2
CU1abcpp	adp|atp|cu|h|h2o|pi
CU2abcpp	adp|atp|cu2|h|h2o|pi
CU2tex	cu2
CU2tpp	cu2
CUt3	cu|h
CUtex	cu
CYANST	cyan|h|so3|tcynt|tsul
CYANSTpp	cyan|h|so3|tcynt|tsul
CYANtex	cyan
CYNTAH	co2|cynt|h|hco3|nh4
CYNTt2pp	cynt|h
CYNTtex	cynt
CYSDDS	cys-D|h2o|h2s|nh4|pyr
CYSDS	cys-L|h2o|h2s|nh4|pyr
CYSDabcpp	adp|atp|cys-D|h|h2o|pi
CYSDtex	cys-D
CYSS	ac|acser|cys-L|h|h2s
CYSSADS	3sala|ala-L|h|so2
CYSTL	cysth-L|h2o|hcys-L|nh4|pyr
CYSTRS	amp|atp|cys-L|cystrna|h|ppi|trnacys
CYSabc2pp	adp|atp|cys-L|h|h2o|pi
CYSabcpp	adp|atp|cys-L|h|h2o|pi
CYStex	cys-L
CYStpp	cys-L
CYTBD2pp	h|h2o|mql8|mqn8|o2
CYTBDpp	h|h2o|o2|q8|q8h2
CYTBO3_4pp	h|h2o|o2|q8|q8h2
CYTD	cytd|h|h2o|nh4|uri
CYTDH	csn|cytd|h2o|rib-D
CYTDK2	cmp|cytd|gdp|gtp|h
CYTDt2pp	cytd|h
CYTDt2rpp	cytd|h
CYTDtex	cytd
CYTK1	adp|atp|cdp|cmp
