2PGK	23dpg|2pg|adp|atp|h
MI1PP	h2o|inost|mi1p-D|pi
MI1PS	g6p|mi1p-D
MMAMT	com|mcom|mma|nh4
MMAt	h|mma
MNabc	adp|atp|h|h2o|mn2|pi
MOBDabc	adp|atp|h|h2o|mobd|pi
MOHMT	2dhp|3mob|h2o|mlthf|thf
MPML	adp|atp|h|h2o|mg2|mppp9|pi|ppp9
MTAP	5mdr1p|5mta|ade|pi
MTCMMT	ch4s|com|dms|mcom
MTHFC	10fthf|h|h2o|methf
MTHFD2i	methf|mlthf|nad|nadh
MTHFR3	5mthf|h|mlthf|nadp|nadph
MTSPC	formh4spt|h|h2o|menylh4spt
MTSPCMMT	com|h4spt|mcom|mh4spt|na1
N2tr	n2
NACUP	nac
NADK	adp|atp|h|nad|nadp
NADS1	amp|atp|dnad|h|nad|nh4|ppi
NADS2	amp|atp|dnad|gln-L|glu-L|h|h2o|nad|ppi
NAPRTr	h|nac|nicrnt|ppi|prpp
NAt3_1	h|na1
NBAHH	ala-B|carn|h2o|his-L
NDPK1	adp|atp|gdp|gtp
NDPK2	adp|atp|udp|utp
NDPK3	adp|atp|cdp|ctp
NDPK4	adp|atp|dtdp|dttp
NDPK5	adp|atp|dgdp|dgtp
NDPK6	adp|atp|dudp|dutp
NDPK7	adp|atp|dcdp|dctp
NDPK8	adp|atp|dadp|datp
NDPK9	adp|atp|idp|itp
NH4t	nh4
NIT_n1p4	adp|atp|fdox|fdred|h|h2|h2o|n2|nh4|pi
NIabc	adp|atp|h|h2o|ni2|pi
NIt5	ni2
NMNAT	atp|h|nad|nmn|ppi
NN5HBPRT	5hbzid|5pr5hbz|h|nac|nicrnt
NNAT	atp|dnad|h|nicrnt|ppi
NNDPR	co2|h|nicrnt|ppi|prpp|quln
NTP1	adp|atp|h|h2o|pi
NTP2	dadp|datp|h|h2o|pi
NTP3	gdp|gtp|h|h2o|pi
NTP4	dgdp|dgtp|h|h2o|pi
NTP5	cdp|ctp|h|h2o|pi
NTP6	dcdp|dctp|h|h2o|pi
NTP7	h|h2o|pi|udp|utp
NTP8	dudp|dutp|h|h2o|pi
NTP9	dtdp|dttp|h|h2o|pi
NTRIR2x	h|h2o|nad|nadh|nh4|no2
NTRIR2y	h|h2o|nadp|nadph|nh4|no2
NaKt	adp|atp|h|h2o|k|na1|pi
OCBT	cbp|citr-L|h|orn|pi
OMCDC	3c4mop|4mop|co2|h
OMPDC	co2|h|orot5p|ump
OORr	akg|co2|coa|fdox|fdred|h|succoa
OPAH	5oxpro|adp|atp|glu-L|h|h2o|pi
ORNCD	nh4|orn|pro-L
ORNDC	co2|h|orn|ptrc
ORNTAC	acglu|acorn|glu-L|orn
ORPT	orot|orot5p|ppi|prpp
OXADC	co2|for|h|oxa
P5CRx	1pyr5c|h|nad|nadh|pro-L
PACCOAL	amp|atp|coa|pac|phaccoa|ppi
PACCOAL2	4hphac|amp|atp|coa|hphaccoa|ppi
PACCOAL3	amp|atp|coa|ind3ac|indaccoa|ppi
PACt2r	h|pac
PANTS	ala-B|amp|atp|h|pant-R|pnto-R|ppi
PAPSR	h|pap|paps|so3|trdox|trdrd
PC	adp|atp|h|hco3|oaa|pi|pyr
PFK (adp)	adp|amp|f6p|fdp|h
PGAMT	gam1p|gam6p
PGCD	3pg|3php|h|nad|nadh
PGI	f6p|g6p
PGK	13dpg|3pg|adp|atp
PGLYCP	2pglyc|glyclt|h2o|pi
PGM	2pg|3pg
PGMT	g1p|g6p
PHETA1	akg|glu-L|phe-L|phpyr
PHETRS	amp|atp|phe-L|phetrna|ppi|trnaphe
PIabc	adp|atp|h|h2o|pi
PMANM	man1p|man6p
PMDPHT	4r5au|5aprbu|h2o|pi
PMEVK	5dpmev|5pmev|adp|atp
PMPK	2mahmp|4ampm|adp|atp
PNTK	4ppan|adp|atp|h|pnto-R
PNTOt2	h|pnto-R
POR2	accoa|co2|coa|fdox|fdred|h|pyr
POR3	2obut|co2|coa|fdox|fdred|h|ppcoa
PPA	h|h2o|pi|ppi
PPAKr	adp|atp|ppa|ppap
PPA_1	h|h2o|pi|ppi
PPBNGS	5aop|h|h2o|ppbng
PPCDC	4ppcys|co2|h|pan4p
PPDK	amp|atp|h|pep|pi|ppi|pyr
PPK2	adp|atp|ppi|pppi
PPNCL2	4ppan|4ppcys|cmp|ctp|cys-L|h|ppi
PPND	34hpp|co2|nad|nadh|pphn
PPNDH	co2|h|h2o|phpyr|pphn
PPS	amp|atp|h|h2o|pep|pi|pyr
PRAGSr	adp|atp|gar|gly|h|pi|pram
PRAIS	adp|air|atp|fpram|h|pi
PRAIi	2cpr5p|pran
PRAMPC	h2o|prbamp|prfp
PRASCS	25aics|5aizc|adp|asp-L|atp|h|pi
PRATPP	h|h2o|ppi|prbamp|prbatp
PRFGS	adp|atp|fgam|fpram|gln-L|glu-L|h|h2o|pi
PRMICIi	prfp|prlp
PROTRS	amp|atp|ppi|pro-L|protrna|trnapro
PROabc	adp|atp|h|h2o|pi|pro-L
PROt2	h|pro-L
PRPPP	h|h2o|pi|prpp|r15bp
PRPPS	amp|atp|h|prpp|r5p
PSCVT	3psme|pep|pi|skm5p
PSERT	3php|akg|glu-L|pser-L
PSLP	h2o|pi|sl-L|slp-L
PSLS	h|pep|slp-L|so3
PSP_L	h2o|pi|pser-L|ser-L
PTAr	accoa|actp|coa|pi
PTHPS	6pthp|ahdt|pppi
PTPATi	atp|dpcoa|h|pan4p|ppi
PYK	adp|atp|h|pep|pyr
PYRDC	acald|co2|h|pyr
PYRt2	h|pyr
QULNS	dhap|h2o|iasp|pi|quln
RBFSa	4r5au|db4p|dmlz|h2o|pi
RBFSb	4r5au|dmlz|ribflv
RBK	adp|atp|h|r5p|rib-D
RBPC	3pg|co2|h|h2o|rb15bp
RBPI	r15bp|rb15bp
RH2CD	Rh2cit|h2acon-C|h2o
RH3CD	Rh3cit|h2o|h3acon-C
RIBFLVt2	h|ribflv
RNDR1	adp|dadp|h2o|trdox|trdrd
RNDR2	dgdp|gdp|h2o|trdox|trdrd
RNDR3	cdp|dcdp|h2o|trdox|trdrd
RNDR4	dudp|h2o|trdox|trdrd|udp
RNTR1	atp|datp|h2o|trdox|trdrd
RNTR2	dgtp|gtp|h2o|trdox|trdrd
RNTR3	ctp|dctp|h2o|trdox|trdrd
RNTR4	dutp|h2o|trdox|trdrd|utp
RPE	ru5p-D|xu5p-D
RPI	r5p|ru5p-D
RZ5PP2	5pr5hbz|h2o|pi|r5hbzi
SECS	2tcc|h|nad|nadh|sec
SERAT	accoa|acser|coa|ser-L
SERTRS	amp|atp|ppi|ser-L|sertrna|trnaser
SHCD	Shcit|h2o|hacon-C
SHCHCC	cobalt2|copre2|dscl|h
SHCHD2	dscl|h|nad|nadh|scl
SHCHF	fe2|h|scl|sheme
SHK3Dr	3dhsk|h|nadp|nadph|skm
SHKK	adp|atp|h|skm|skm5p
SLDx	3spyr|h|nad|nadh|sl-L
SLDxi2	3spyr|h|nad|nadh|sl-L
SLDy	3spyr|h|nadp|nadph|sl-L
SMTZS	2saa|2tcc|cys-L|h2o
SO3t	h|so3
SO4t2	h|so4
SPDC	2saa|3spyr|co2|h
SPODM	h|h2o2|o2|o2-
SSALx	h|h2o|nad|nadh|succ|sucsal
SSALy	h|h2o|nadp|nadph|succ|sucsal
SULabc	adp|atp|h|h2o|pi|so4
St	s
TALA	e4p|f6p|g3p|s7p
TAPTPP	25dhpp|h|h2o|ppi|ptp
TAPTPPM	dhp23cp|h2o|ppi|ptp
TDPDRE	dtdp4d6dg|dtdp4d6dm
TDPDRR	dtdp4d6dm|dtdprmn|h|nadp|nadph
TDPGDH	dtdp4d6dg|dtdpglu|h2o
THACH	Shcit|h2o|hacon-T
THMabc	adp|atp|h|h2o|pi|thm
THRAr	acald|gly|thr-L
